"","RINGS","AROMATIC","RNH2","R2NH","R3N","ROPO3","ROH","RCHO","RCOR","RCOOH","RCOOR","ROR","RCCH","RCN","MF","MW","C","Cl","H","N","O","S","F","Br","B","P","I","Si"
"CHEMBL3301596",3,2,1,0,0,0,0,0,0,0,0,0,0,0,"C16H16Cl2N",293.21094,16,2,16,1,0,0,0,0,0,0,0,0
"CHEMBL3301602",5,3,0,1,1,0,0,0,0,0,0,0,0,0,"C21H24N5O3S",426.51196,21,0,24,5,3,1,0,0,0,0,0,0
"CHEMBL3990346",1,1,0,4,1,0,1,0,0,0,0,0,0,0,"C29H51N5O4",533.74634,29,0,51,5,4,0,0,0,0,0,0,0
"CHEMBL2104184",3,1,0,0,1,0,0,0,0,0,0,0,0,0,"C16H21Cl2N2O",328.25674,16,2,21,2,1,0,0,0,0,0,0,0
"CHEMBL3707269",4,3,0,2,2,0,0,0,0,0,0,0,0,0,"C17H20F3N6O",381.3755096,17,0,20,6,1,0,3,0,0,0,0,0
"CHEMBL2106598",3,2,0,0,1,0,0,0,0,1,0,0,0,0,"C14H8NO4",254.21762,14,0,8,1,4,0,0,0,0,0,0,0
"CHEMBL115794",2,1,0,1,0,0,1,0,0,0,0,1,0,0,"C12H16F2NO2",244.2577464,12,0,16,1,2,0,2,0,0,0,0,0
"CHEMBL3039499",7,3,0,1,2,0,0,0,0,0,0,2,0,0,"C45H55F2N6O8S2",910.0804064,45,0,55,6,8,2,2,0,0,0,0,0
"CHEMBL1908332",4,0,0,1,2,0,0,0,0,0,0,0,0,0,"C27H45N3O3",459.6645,27,0,45,3,3,0,0,0,0,0,0,0
"CHEMBL5314536",3,3,0,0,0,0,2,0,1,0,0,1,0,0,"C17H11Br2O4",439.07484,17,0,11,0,4,0,0,2,0,0,0,0
"CHEMBL2107625",4,2,0,1,1,0,0,0,0,0,0,2,0,0,"C23H29N3O3",395.49466,23,0,29,3,3,0,0,0,0,0,0,0
"CHEMBL2106994",4,2,0,0,2,0,0,0,0,0,0,2,0,0,"C29H40N3O3",478.6462,29,0,40,3,3,0,0,0,0,0,0,0
"CHEMBL3989903",4,2,0,0,3,0,0,0,0,0,0,0,0,0,"C22H24Cl2N3OS",449.41646,22,2,24,3,1,1,0,0,0,0,0,0
"CHEMBL2105752",4,4,0,0,1,0,0,0,0,0,0,1,0,0,"C22H24N3O3S",410.50926,22,0,24,3,3,1,0,0,0,0,0,0
"CHEMBL2105633",4,1,1,0,2,0,0,0,0,0,0,2,0,0,"C20H30FN3O3",379.4689032,20,0,30,3,3,0,1,0,0,0,0,0
"CHEMBL5314509",4,2,0,0,4,0,0,0,0,0,0,2,0,0,"C32H52FN7O3",601.7987832,32,0,52,7,3,0,1,0,0,0,0,0
"CHEMBL54126",1,1,0,0,1,0,0,0,0,0,1,0,0,0,"C12H19N2O2",223.29146,12,0,19,2,2,0,0,0,0,0,0,0
"CHEMBL4297515",8,6,0,2,2,0,0,0,0,0,1,3,0,0,"C47H62N12O11S2",1035.19898,47,0,62,12,11,2,0,0,0,0,0,0
"CHEMBL1204135",2,1,0,1,0,0,0,0,0,0,0,0,0,0,"C11H19N2O4S3",339.47456,11,0,19,2,4,3,0,0,0,0,0,0
"CHEMBL2107365",2,1,0,1,0,0,1,0,0,0,0,1,0,0,"C13H19ClNO2",256.74846,13,1,19,1,2,0,0,0,0,0,0,0
"CHEMBL19611",2,2,0,3,0,0,0,0,0,0,0,0,0,0,"C20H28N4O4",388.46072,20,0,28,4,4,0,0,0,0,0,0,0
"CHEMBL3040582",7,3,0,1,2,0,0,0,0,0,0,2,0,0,"C45H55F2N6O8S2",910.0804064,45,0,55,6,8,2,2,0,0,0,0,0
"CHEMBL2107323",3,3,0,2,0,0,0,0,0,0,0,1,0,0,"C18H19ClF5N6O",465.828076,18,1,19,6,1,0,5,0,0,0,0,0
"CHEMBL2107833",5,5,0,3,0,0,0,0,0,0,0,1,0,0,"C30H28FN7O3",553.5868232,30,0,28,7,3,0,1,0,0,0,0,0
"CHEMBL2105891",3,1,0,1,2,0,0,0,0,0,1,0,0,0,"C15H22N3O2",276.35408,15,0,22,3,2,0,0,0,0,0,0,0
"CHEMBL2104541",3,3,0,1,0,0,1,0,0,0,0,4,0,0,"C23H28N4O8S",520.55542,23,0,28,4,8,1,0,0,0,0,0,0
"CHEMBL67",2,2,0,0,0,0,1,0,0,0,0,4,0,0,"C18H20O5",316.3484,18,0,20,0,5,0,0,0,0,0,0,0
"CHEMBL4297219",4,3,0,2,1,0,0,0,0,0,0,1,0,0,"C26H28Cl2FN6O3",562.4433232,26,2,28,6,3,0,1,0,0,0,0,0
"CHEMBL280378",3,3,0,0,1,0,0,0,0,0,0,2,0,0,"C19H24N5O2",354.42616,19,0,24,5,2,0,0,0,0,0,0,0
"CHEMBL396298",6,5,0,2,1,0,0,0,1,0,0,3,0,0,"C34H34N3O5",564.65086,34,0,34,3,5,0,0,0,0,0,0,0
"CHEMBL2107490",4,4,0,0,0,0,0,0,0,0,0,0,0,0,"C10H5N8",237.2003,10,0,5,8,0,0,0,0,0,0,0,0
"CHEMBL2106694",1,1,1,0,0,0,0,0,0,0,0,0,0,0,"C11H14F2N",198.2323664,11,0,14,1,0,0,2,0,0,0,0,0
"CHEMBL2107436",2,1,0,0,1,0,0,0,0,0,0,1,0,0,"C13H19ClNO",240.74906,13,1,19,1,1,0,0,0,0,0,0,0
"CHEMBL114586",4,3,0,2,0,0,0,0,0,0,1,0,0,0,"C21H21N5O2",375.42374,21,0,21,5,2,0,0,0,0,0,0,0
"CHEMBL2105641",4,4,0,3,1,0,0,0,0,0,0,0,0,0,"C20H14ClFN5O5S2",522.9370632,20,1,14,5,5,2,1,0,0,0,0,0
"CHEMBL433041",3,1,0,1,2,0,0,0,0,0,1,0,0,0,"C21H34N3O2",360.51356,21,0,34,3,2,0,0,0,0,0,0,0
"CHEMBL269787",6,6,0,0,1,0,0,0,0,1,0,1,0,0,"C39H32Cl3N2O5S",747.10578,39,3,32,2,5,1,0,0,0,0,0,0
"CHEMBL2105261",4,0,0,0,0,0,0,0,2,0,0,0,1,0,"C21H26O2",310.42994,21,0,26,0,2,0,0,0,0,0,0,0
"CHEMBL5314444",4,3,0,1,2,0,0,0,0,0,0,1,0,0,"C24H34N5O4S",488.62286,24,0,34,5,4,1,0,0,0,0,0,0
"CHEMBL4521078",5,5,0,0,1,0,0,0,0,1,0,0,0,0,"C26H21N4O3",437.46994,26,0,21,4,3,0,0,0,0,0,0,0
"CHEMBL2104875",4,3,0,0,1,0,0,0,0,0,0,3,0,0,"C22H20N4O5",420.418,22,0,20,4,5,0,0,0,0,0,0,0
"CHEMBL2106789",3,2,0,0,0,0,1,0,2,1,0,1,0,0,"C16H12O6",300.26288,16,0,12,0,6,0,0,0,0,0,0,0
"CHEMBL4447181",5,4,0,3,2,0,0,0,0,0,0,1,0,0,"C28H32F2N7O4S",600.6599864,28,0,32,7,4,1,2,0,0,0,0,0
"CHEMBL4297518",4,3,0,1,2,0,1,0,0,0,0,1,0,0,"C26H38N5O5S",532.67542,26,0,38,5,5,1,0,0,0,0,0,0
"CHEMBL2107785",2,0,0,0,0,0,2,0,0,1,1,0,0,0,"C25H39O6",435.57356,25,0,39,0,6,0,0,0,0,0,0,0
"CHEMBL2106094",3,3,0,1,0,0,0,0,0,0,0,0,0,0,"C16H18N3",252.33422,16,0,18,3,0,0,0,0,0,0,0,0
"CHEMBL2104331",2,2,0,3,0,0,1,0,0,0,1,4,0,0,"C35H53N3O9",659.81002,35,0,53,3,9,0,0,0,0,0,0,0
"CHEMBL6068511",3,3,0,1,0,0,0,0,0,0,0,1,0,0,"C19H18F3N2O3S",411.4180296,19,0,18,2,3,1,3,0,0,0,0,0
"CHEMBL5314546",2,2,0,1,0,0,0,0,0,0,0,0,0,0,"C17H18F3N2O",323.3328296,17,0,18,2,1,0,3,0,0,0,0,0
"CHEMBL4802241",5,3,0,1,0,0,0,0,0,0,0,0,0,1,"C17H17N7O2S",383.42758,17,0,17,7,2,1,0,0,0,0,0,0
